Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"Bukit Jalil, Kuala Lumpur",450000.0,3,2,1,Condominium,"Built-up : 1,224 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",490000.0,3,2,2,Condominium,"Built-up : 1,050 sq. ft.",Partly Furnished
"Seputeh, Kuala Lumpur",890000.0,3,2,1,Condominium,"Built-up : 1,305 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur",590000.0,3,2,2,Condominium,Built-up : 914 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur",140000.0,3,1,1,Flat,Built-up : 600 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur",870000.0,3,2,2,Condominium,"Built-up : 1,127 sq. ft.",Partly Furnished
"Bukit Bintang, Kuala Lumpur",765000.0,1,1,1,Condominium,Built-up : 538 sq. ft.,Unfurnished
"Ampang, Kuala Lumpur",870000.0,2,2,2,Condominium,"Built-up : 1,066 sq. ft.",Fully Furnished
"Sentul, Kuala Lumpur",1500000.0,5,5,2,Condominium,"Built-up : 2,049 sq. ft.",Fully Furnished
"Setapak, Kuala Lumpur",450000.0,2,2,2,Condominium,Built-up : 856 sq. ft.,Fully Furnished
"Sentul, Kuala Lumpur",720000.0,3,3,2,Condominium,Built-up : 999 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur",2400000.0,7,3,3,Luxury,Land area : 7618 sq. ft.,Fully Furnished
"Kuchai Lama, Kuala Lumpur",535000.0,3,2,2,Condominium,Built-up : 11 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur",1850000.0,5,3,2,Condominium,"Built-up : 3,062 sq. ft.",Partly Furnished
"Bandar Menjalara, Kuala Lumpur",580000.0,3,3,3,Landed,Land area : 16x55 sq. ft.,Partly Furnished
"KL Eco City, Kuala Lumpur",1100000.0,2,1,1,Condominium,Built-up : 797 sq. ft.,Fully Furnished
"KL Eco City, Kuala Lumpur",920000.0,1,1,1,Condominium,Built-up : 710 sq. ft.,Fully Furnished
"KL Eco City, Kuala Lumpur",990000.0,1,1,1,Condominium,Built-up : 786 sq. ft.,Partly Furnished
"Titiwangsa, Kuala Lumpur",1700000.0,5,5,3,Landed,Land area : 5877 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur",405000.0,3,2,1,Condominium,Land area : 959 sq. ft.,Partly Furnished
"Ampang Hilir, Kuala Lumpur",6700000.0,6,5,3,Condominium,"Built-up : 9,258 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",498000.0,3,2,3,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",475000.0,3,2,1,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",488000.0,3,2,1,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",470000.0,3,2,1,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",498000.0,3,2,3,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",475000.0,3,2,1,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",488000.0,3,2,1,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",470000.0,3,2,1,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",450000.0,3,2,1,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",550000.0,3,2,1,Condominium,"Built-up : 1,100 sq. ft.",Fully Furnished
"Jalan Kuching, Kuala Lumpur",430000.0,3,2,1,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",460000.0,3,2,1,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur",530000.0,2,2,1,Condominium,Built-up : 715 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1150000.0,3,3,2,Condominium,"Built-up : 1,249 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",375000.0,3,2,1,Condominium,"Built-up : 1,119 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",830000.0,4,3,2,Condominium,"Built-up : 1,578 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",555000.0,3,2,1,Condominium,"Built-up : 1,215 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",1550000.0,4,3,2,Landed,Land area : 20x70 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1050000.0,4,4,2,Condominium,"Built-up : 1,710 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",565000.0,3,2,1,Condominium,"Built-up : 1,215 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",780000.0,4,3,2,Condominium,"Built-up : 1,406 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",800000.0,3,2,2,Condominium,"Built-up : 1,392 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",980000.0,4,3,2,Condominium,"Built-up : 1,663 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1200000.0,4,4,2,Condominium,"Built-up : 1,710 sq. ft.",Fully Furnished
"Kuchai Lama, Kuala Lumpur",600000.0,3,2,2,Condominium,Built-up : 986 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",499000.0,1,1,2,Condominium,Built-up : 645 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur",1250000.0,6,5,2,Landed,Land area : 20x70 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",818000.0,3,2,2,Condominium,"Built-up : 1,578 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",868000.0,4,3,2,Condominium,"Built-up : 1,488 sq. ft.",Fully Furnished
"Kuchai Lama, Kuala Lumpur",1280000.0,4,3,2,Landed,Land area : 20x65 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",668000.0,3,2,2,Condominium,"Built-up : 1,215 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",1100000.0,4,3,2,Landed,Land area : 20x70 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",800000.0,3,2,2,Condominium,"Built-up : 1,168 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",828000.0,4,3,2,Condominium,"Built-up : 1,488 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",680000.0,4,3,2,Condominium,"Built-up : 1,440 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",1650000.0,4,4,3,Condominium,"Built-up : 2,021 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1080000.0,4,3,2,Condominium,"Built-up : 1,710 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",760000.0,4,3,2,Condominium,"Built-up : 1,440 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",650000.0,3,2,2,Condominium,"Built-up : 1,168 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",698000.0,3,2,2,Condominium,"Built-up : 1,168 sq. ft.",Partly Furnished
"Kuchai Lama, Kuala Lumpur",410000.0,3,2,2,Condominium,"Built-up : 1,100 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",700000.0,4,2,2,Condominium,"Built-up : 1,236 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1000000.0,4,3,2,Condominium,"Built-up : 1,578 sq. ft.",Fully Furnished
"Sri Petaling, Kuala Lumpur",1280000.0,4,3,2,Landed,Land area : 20x65 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",630000.0,4,3,1,Condominium,"Built-up : 1,344 sq. ft.",Partly Furnished
"Happy Garden, Kuala Lumpur",1650000.0,4,4,2,Landed,Land area : 22x80 sq. ft.,Partly Furnished
"Sri Petaling, Kuala Lumpur",1650000.0,4,4,2,Landed,Land area : 22x80 sq. ft.,Partly Furnished
"Kuchai Lama, Kuala Lumpur",1650000.0,4,4,2,Landed,Land area : 22x80 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",1200000.0,3,2,2,Condominium,"Built-up : 1,254 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1400000.0,2,2,2,Condominium,"Built-up : 1,523 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",780000.0,3,2,1,Condominium,"Built-up : 1,112 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",549000.0,2,2,2,Condominium,Built-up : 645 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",730000.0,3,2,1,Condominium,"Built-up : 1,148 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",928000.0,4,3,2,Condominium,"Built-up : 1,578 sq. ft.",Fully Furnished
"Taman Desa, Kuala Lumpur",610000.0,3,2,1,Condominium,Built-up : 935 sq. ft.,Fully Furnished
"Taman Desa, Kuala Lumpur",660000.0,3,2,1,Condominium,Built-up : 935 sq. ft.,Fully Furnished
"Kuchai Lama, Kuala Lumpur",510000.0,2,2,2,Condominium,Built-up : 936 sq. ft.,Fully Furnished
"Setapak, Kuala Lumpur",300000.0,3,2,1,Condominium,Built-up : 800 sq. ft.,Unfurnished
"Kuchai Lama, Kuala Lumpur",500000.0,2,2,2,Condominium,Built-up : 936 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",790000.0,4,4,2,Condominium,"Built-up : 1,483 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",900000.0,4,3,2,Condominium,"Built-up : 1,578 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1100000.0,4,3,2,Condominium,"Built-up : 1,578 sq. ft.",Fully Furnished
"Kuchai Lama, Kuala Lumpur",530000.0,3,2,2,Condominium,Built-up : 936 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur",530000.0,2,2,1,Condominium,Built-up : 715 sq. ft.,Fully Furnished
"Setapak, Kuala Lumpur",460000.0,3,2,2,Condominium,"Built-up : 1,095 sq. ft.",Unfurnished
"KLCC, Kuala Lumpur",5200000.0,4,5,2,Condominium,"Built-up : 3,513 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",4500000.0,4,5,2,Condominium,"Built-up : 3,513 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2200000.0,2,1,1,Condominium,"Built-up : 1,087 sq. ft.",Unfurnished
"KLCC, Kuala Lumpur",4250000.0,3,3,2,Condominium,"Built-up : 1,786 sq. ft.",Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",650000.0,4,2,2,Condominium,"Built-up : 1,094 sq. ft.",Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",345000.0,3,2,1,Condominium,Built-up : 950 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur",639000.0,3,2,2,Condominium,"Built-up : 1,106 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",330000.0,3,2,1,Condominium,Built-up : 810 sq. ft.,Unfurnished
"Desa ParkCity, Kuala Lumpur",1300000.0,2,3,2,Condominium,Land area : 1582 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur",600000.0,3,2,1,Condominium,"Built-up : 1,200 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",480000.0,2,2,1,Condominium,"Built-up : 1,000 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",550000.0,4,2,1,Condominium,"Built-up : 1,295 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",2800000.0,4,5,2,Condominium,"Built-up : 3,300 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1190000.0,3,2,1,Condominium,Built-up : 777 sq. ft.,Fully Furnished
"Seputeh, Kuala Lumpur",415000.0,3,2,1,Condominium,"Built-up : 1,200 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",6480000.0,4,4,2,Condominium,"Built-up : 2,195 sq. ft.",Fully Furnished
"Ampang, Kuala Lumpur",1900000.0,3,2,2,Condominium,"Built-up : 3,003 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur",2090000.0,6,6,4,Landed,Land area : 2700 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",400000.0,3,2,1,Condominium,"Built-up : 1,105 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",430000.0,3,2,1,Condominium,"Built-up : 1,105 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",980000.0,5,4,2,Condominium,"Built-up : 1,513 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",680000.0,4,2,2,Condominium,"Built-up : 1,300 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",565000.0,3,2,2,Condominium,"Built-up : 1,100 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",2200000.0,4,4,3,Condominium,"Built-up : 2,535 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",790000.0,3,2,1,Condominium,"Built-up : 1,280 sq. ft.",Fully Furnished
"Ampang, Kuala Lumpur",1250000.0,4,4,3,Landed,Land area : 25x85 sq. ft.,Partly Furnished
"Taman Desa, Kuala Lumpur",510000.0,2,2,1,Condominium,Built-up : 715 sq. ft.,Partly Furnished
"OUG, Kuala Lumpur",4600000.0,7,5,10,Luxury,Land area : 10000 sq. ft.,Partly Furnished
"OUG, Kuala Lumpur",2500000.0,7,4,4,Luxury,Land area : 3200 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur",1680000.0,4,4,3,Condominium,"Built-up : 2,021 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",1630000.0,4,4,3,Condominium,"Built-up : 2,021 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",723000.0,4,2,3,Condominium,"Built-up : 1,371 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur",2000000.0,5,5,3,Condominium,"Built-up : 2,253 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",1880000.0,5,5,3,Condominium,Land area : 2950 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur",638000.0,4,3,2,Townhouse,"Built-up : 2,333 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur",720000.0,2,1,1,Condominium,Built-up : 960 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1490000.0,4,4,2,Condominium,"Built-up : 2,098 sq. ft.",Fully Furnished
"City Centre, Kuala Lumpur",7728000.0,5,5,1,Condominium,"Built-up : 6,769 sq. ft.",Fully Furnished
"Taman Desa, Kuala Lumpur",700000.0,3,2,1,Condominium,"Built-up : 1,160 sq. ft.",Unknown
"Taman Desa, Kuala Lumpur",675000.0,3,2,1,Condominium,"Built-up : 1,250 sq. ft.",Fully Furnished
"Taman Desa, Kuala Lumpur",780000.0,3,2,1,Condominium,Land area : 4.5acres sq. ft.,Fully Furnished
"Taman Desa, Kuala Lumpur",760000.0,3,2,2,Condominium,"Built-up : 1,152 sq. ft.",Fully Furnished
"KL City, Kuala Lumpur",730000.0,1,1,1,Condominium,Built-up : 744 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",429000.0,0,1,1,Condominium,Built-up : 450 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",570000.0,0,1,1,Condominium,Built-up : 411 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",1480000.0,1,2,1,Condominium,Built-up : 989 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur",1330000.0,4,3,2,Condominium,"Built-up : 1,367 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur",1350000.0,4,5,3,Condominium,"Built-up : 1,876 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",2998000.0,4,3,3,Condominium,"Built-up : 2,066 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur",1199999.0,3,2,1,Condominium,"Built-up : 1,281 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur",759999.0,1,1,1,Condominium,Built-up : 742 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur",545000.0,3,2,2,Condominium,"Built-up : 1,091 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur",670000.0,3,2,2,Condominium,"Built-up : 1,234 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",340000.0,3,2,1,Condominium,"Built-up : 1,020 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1598000.0,4,4,3,Condominium,"Built-up : 2,497 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",940000.0,4,3,2,Condominium,"Built-up : 1,828 sq. ft.",Partly Furnished
"Bandar Tasik Selatan, Kuala Lumpur",250000.0,3,2,1,Flat,Built-up : 730 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur",388000.0,2,2,1,Condominium,"Built-up : 1,075 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur",485000.0,3,2,1,Condominium,"Built-up : 1,074 sq. ft.",Unfurnished
"Kepong, Kuala Lumpur",750000.0,4,2,2,Landed,Land area : 22 x 75 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur",510000.0,3,2,2,Condominium,"Built-up : 1,027 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur",398000.0,3,2,1,Apartment,"Built-up : 1,121 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",638000.0,3,2,1,Condominium,Built-up : 970 sq. ft.,Fully Furnished
"Kepong, Kuala Lumpur",708000.0,4,3,2,Townhouse,Land area : 2246 sq. ft.,Fully Furnished
"Bandar Menjalara, Kuala Lumpur",580000.0,4,2,2,Landed,Land area : 18x55 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur",540000.0,4,3,2,Landed,Land area : 20x60 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur",785000.0,4,3,2,Landed,Land area : 20x65 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur",550000.0,4,3,2,Landed,Land area : 18x65 sq. ft.,Unfurnished
"Jalan Ipoh, Kuala Lumpur",530000.0,3,2,1,Condominium,"Built-up : 1,270 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur",400000.0,2,2,2,Condominium,Built-up : 900 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1500000.0,4,3,2,Condominium,"Built-up : 1,871 sq. ft.",Fully Furnished
"Setapak, Kuala Lumpur",550000.0,3,2,3,Condominium,"Built-up : 1,170 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur",900000.0,4,3,2,Condominium,"Built-up : 1,550 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1800000.0,4,3,2,Condominium,"Built-up : 2,013 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",700000.0,1,1,2,Condominium,Built-up : 634 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur",1300000.0,4,3,2,Condominium,"Built-up : 1,600 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",718000.0,3,2,1,Condominium,"Built-up : 1,235 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1200000.0,4,3,2,Condominium,"Built-up : 1,652 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1500000.0,4,3,2,Condominium,"Built-up : 1,871 sq. ft.",Fully Furnished
"Setapak, Kuala Lumpur",550000.0,3,2,3,Condominium,"Built-up : 1,170 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur",900000.0,4,3,2,Condominium,"Built-up : 1,550 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1800000.0,4,3,2,Condominium,"Built-up : 2,013 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",700000.0,1,1,2,Condominium,Built-up : 634 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur",1300000.0,4,3,2,Condominium,"Built-up : 1,600 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",718000.0,3,2,1,Condominium,"Built-up : 1,235 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1200000.0,4,3,2,Condominium,"Built-up : 1,652 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1200000.0,4,3,2,Condominium,"Built-up : 1,756 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",620000.0,1,1,1,Condominium,Built-up : 750 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",725000.0,4,2,2,Condominium,"Built-up : 1,092 sq. ft.",Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",795000.0,4,2,2,Condominium,"Built-up : 1,073 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",670000.0,2,2,2,Condominium,Built-up : 895 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",738000.0,4,2,2,Condominium,"Built-up : 1,092 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",820000.0,3,2,1,Condominium,"Built-up : 1,428 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",3600000.0,5,5,2,Condominium,"Built-up : 4,000 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1530000.0,3,3,2,Condominium,"Built-up : 1,576 sq. ft.",Partly Furnished
"Jalan Ipoh, Kuala Lumpur",658000.0,5,3,1,Condominium,"Built-up : 1,581 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",618000.0,1,1,1,Condominium,Built-up : 725 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur",1350000.0,4,3,3,Condominium,"Built-up : 1,756 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1550000.0,3,3,2,Condominium,"Built-up : 1,700 sq. ft.",Fully Furnished
"Sungai Besi, Kuala Lumpur",600000.0,3,2,3,Condominium,"Built-up : 1,260 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur",1200000.0,3,1,6,Condominium,"Built-up : 1,430 sq. ft.",Partly Furnished
"Batu Caves, Kuala Lumpur",399999.0,3,2,1,Condominium,"Built-up : 1,405 sq. ft.",Fully Furnished
"Batu Caves, Kuala Lumpur",410000.0,3,2,1,Condominium,"Built-up : 1,405 sq. ft.",Unfurnished
"Batu Caves, Kuala Lumpur",190000.0,3,2,1,Apartment,Built-up : 776 sq. ft.,Unfurnished
"Sunway SPK, Kuala Lumpur",1950000.0,6,4,4,Landed,Land area : 32x75 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",980000.0,3,2,1,Condominium,"Built-up : 1,398 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",3200000.0,4,5,3,Condominium,"Built-up : 2,968 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1680000.0,3,3,2,Condominium,"Built-up : 1,445 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur",7500000.0,6,6,4,Luxury,Land area : 7530 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur",1818000.0,3,3,3,Condominium,"Built-up : 2,277 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1600000.0,5,4,3,Condominium,"Built-up : 2,747 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",5236000.0,2,3,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",485000.0,3,2,2,Condominium,Land area : 1100 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur",550000.0,2,2,1,Condominium,Land area : 875 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur",498000.0,2,2,1,Condominium,Land area : 1020 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur",500000.0,2,2,1,Condominium,Land area : 1020 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur",570000.0,4,2,1,Condominium,"Built-up : 1,295 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",630000.0,3,2,1,Condominium,"Built-up : 1,200 sq. ft.",Fully Furnished
"Kepong, Kuala Lumpur",485000.0,3,2,1,Condominium,"Built-up : 1,074 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur",495000.0,3,2,1,Condominium,Built-up : 930 sq. ft.,Fully Furnished
"Segambut, Kuala Lumpur",800000.0,3,3,2,Condominium,"Built-up : 1,391 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur",630000.0,3,3,2,Condominium,"Built-up : 1,155 sq. ft.",Partly Furnished
"Bandar Menjalara, Kuala Lumpur",400000.0,3,2,1,Condominium,Built-up : 977 sq. ft.,Unfurnished
"Jalan Kuching, Kuala Lumpur",525000.0,4,2,1,Condominium,"Built-up : 1,210 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",470000.0,3,2,1,Condominium,Land area : 1100 sq. ft.,Partly Furnished
"Segambut, Kuala Lumpur",780000.0,3,3,2,Condominium,"Built-up : 1,295 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur",730000.0,4,2,2,Condominium,Land area : 1590 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur",485000.0,3,2,2,Condominium,Land area : 1100 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur",560000.0,4,2,1,Condominium,"Built-up : 1,260 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur",470000.0,4,2,1,Apartment,Land area : 1050 sq. ft.,Partly Furnished
"Segambut, Kuala Lumpur",780000.0,3,3,2,Condominium,"Built-up : 1,295 sq. ft.",Partly Furnished
"Segambut, Kuala Lumpur",730000.0,3,3,2,Condominium,"Built-up : 1,391 sq. ft.",Partly Furnished
"Taman Melawati, Kuala Lumpur",1880000.0,5,6,4,Landed,Land area : 3600 sq. ft.,Fully Furnished
"Jalan Kuching, Kuala Lumpur",445000.0,3,2,1,Condominium,Land area : 1100 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur",950000.0,4,3,2,Condominium,Land area : 1800 sq. ft.,Partly Furnished
"Dutamas, Kuala Lumpur",598000.0,3,2,4,Condominium,Land area : 1100 sq. ft.,Fully Furnished
"Dutamas, Kuala Lumpur",560000.0,3,2,1,Condominium,Land area : 1100 sq. ft.,Fully Furnished
"Dutamas, Kuala Lumpur",1350000.0,5,4,3,Condominium,Land area : 2070 sq. ft.,Unfurnished
"Dutamas, Kuala Lumpur",475000.0,3,2,1,Condominium,Land area : 1100 sq. ft.,Fully Furnished
"Jalan Kuching, Kuala Lumpur",475000.0,3,2,1,Condominium,Land area : 1100 sq. ft.,Partly Furnished
"Segambut, Kuala Lumpur",630000.0,3,3,2,Condominium,"Built-up : 1,155 sq. ft.",Partly Furnished
