Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size (sq. ft.),Price_per_sqft,PropertyType_Furnishing,Furnishing_Fully Furnished,Furnishing_Partly Furnished,Furnishing_Unfurnished
"KLCC, Kuala Lumpur",2300000.0,1,1,2,1,1023.0,7.718369598669984,12911,0,1,0
"Mont Kiara, Kuala Lumpur",2400000.0,5,5,3,1,2702.0,6.7903569768562795,12911,0,1,0
"KLCC, Kuala Lumpur",2055000.0,2,1,1,1,797.0,7.855319486483756,12911,0,1,0
"KLCC, Kuala Lumpur",1714000.0,1,1,1,1,700.0,7.803668361123538,12911,0,1,0
"KLCC, Kuala Lumpur",2300000.0,4,4,3,1,3282.0,6.553637348636114,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",920000.0,5,3,2,1,1513.0,6.411922449637682,12911,0,1,0
"KLCC, Kuala Lumpur",2300000.0,1,1,2,1,1046.0,7.696145715500938,12911,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",4995000.0,6,7,6,4,8113.0,6.424347884268339,843,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",1630000.0,4,3,2,3,22.0,11.213061616266062,2861,0,1,0
"Mont Kiara, Kuala Lumpur",1850000.0,5,4,2,1,1830.0,6.919613651483004,12911,0,1,0
"KLCC, Kuala Lumpur",1783000.0,2,2,1,1,976.0,7.51089255270371,12911,0,1,0
"Dutamas, Kuala Lumpur",1180000.0,4,4,1,1,1942.0,6.411195757519026,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",900000.0,5,3,2,1,1513.0,6.389980028143607,12911,0,1,0
"City Centre, Kuala Lumpur",1700000.0,3,2,1,1,1442.0,7.073200366927417,8694,1,0,0
"Mont Kiara, Kuala Lumpur",3100000.0,5,6,3,1,3400.0,6.816478132027268,8694,1,0,0
"Bukit Jalil, Kuala Lumpur",630000.0,2,2,2,1,791.0,6.681431898604881,12911,0,1,0
"Kepong, Kuala Lumpur",2040000.0,6,5,4,3,32.0,11.062740149172154,2861,0,1,0
"KLCC, Kuala Lumpur",1780000.0,1,1,1,1,728.0,7.802231779222519,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",1050000.0,3,2,2,1,1389.0,6.629283362317589,12911,0,1,0
"Mont Kiara, Kuala Lumpur",2600000.0,5,4,3,1,3041.0,6.752249247231765,12911,0,1,0
"Bangsar South, Kuala Lumpur",630000.0,2,1,1,1,663.0,6.857751935769599,12911,0,1,0
"KLCC, Kuala Lumpur",3364000.0,3,2,2,1,1399.0,7.785544112917459,8694,1,0,0
"Bukit Jalil, Kuala Lumpur",978000.0,5,3,2,1,1513.0,6.472961074567894,12911,0,1,0
"KLCC, Kuala Lumpur",3600000.0,4,5,2,1,3897.0,6.829564012606988,12911,0,1,0
"KLCC, Kuala Lumpur",3600000.0,4,5,2,1,3897.0,6.829564012606988,12911,0,1,0
"KLCC, Kuala Lumpur",2000000.0,1,1,1,1,1087.0,7.518024203760379,8694,1,0,0
"Mont Kiara, Kuala Lumpur",1630000.0,5,4,2,1,2065.0,6.672471136749298,12911,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",1280000.0,4,3,3,3,25.0,10.843514342086866,2861,0,1,0
"KLCC, Kuala Lumpur",1250000.0,2,2,1,1,736.0,7.4380126172749,12911,0,1,0
"Bangsar South, Kuala Lumpur",630000.0,2,1,1,1,650.0,6.877533949625657,8694,1,0,0
"KLCC, Kuala Lumpur",1350000.0,2,2,1,1,1050.0,7.15984718272843,8694,1,0,0
"Bangsar South, Kuala Lumpur",490000.0,1,1,1,1,500.0,6.8885724595653635,8694,1,0,0
"Bangsar South, Kuala Lumpur",800000.0,2,2,1,1,825.0,6.87801433894239,12911,0,1,0
"KLCC, Kuala Lumpur",1000000.0,1,1,1,1,657.0,7.328483323749648,8694,1,0,0
"Sungai Besi, Kuala Lumpur",448800.0,3,3,1,1,1045.0,6.064886193568533,2538,0,0,1
"Mont Kiara, Kuala Lumpur",2480000.0,5,5,3,1,3041.0,6.70505288896014,12911,0,1,0
"KL Sentral, Kuala Lumpur",2716000.0,4,4,2,1,2227.0,7.10707972024061,12911,0,1,0
"Country Heights Damansara, Kuala Lumpur",9500000.0,7,7,6,4,10000.0,6.85751406254539,843,0,1,0
"Taman Desa, Kuala Lumpur",500000.0,2,2,1,1,715.0,6.551509813234013,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",2300000.0,4,3,2,3,22.0,11.557386792712707,2861,0,1,0
"Mont Kiara, Kuala Lumpur",2480000.0,5,5,3,1,3041.0,6.70505288896014,2538,0,0,1
"KLCC, Kuala Lumpur",3500000.0,3,3,1,1,1560.0,7.716278041200667,8694,1,0,0
"Taman Tun Dr Ismail, Kuala Lumpur",1380000.0,4,3,2,3,24.0,10.959557617938563,533,1,0,0
"KLCC, Kuala Lumpur",3600000.0,4,4,2,1,3897.0,6.829564012606988,8694,1,0,0
"Bukit Jalil, Kuala Lumpur",1060000.0,5,4,4,1,1772.0,6.395585637304419,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",900000.0,5,3,3,1,1513.0,6.389980028143607,12911,0,1,0
"KLCC, Kuala Lumpur",1850000.0,3,1,1,1,2174.0,6.74754657457765,12911,0,1,0
"Sentul, Kuala Lumpur",668000.0,4,3,3,1,1345.0,6.209905609216687,8694,1,0,0
"KLCC, Kuala Lumpur",1050000.0,4,3,2,1,1313.0,6.68548054282721,8694,1,0,0
"KLCC, Kuala Lumpur",2998000.0,4,3,2,1,3218.0,6.838013436684356,12911,0,1,0
"KLCC, Kuala Lumpur",2580000.0,4,3,2,1,2809.0,6.823804297214501,12911,0,1,0
"KLCC, Kuala Lumpur",1100000.0,2,2,1,1,880.0,7.1316985104669115,8694,1,0,0
"KLCC, Kuala Lumpur",3600000.0,5,3,2,1,3897.0,6.829564012606988,12911,0,1,0
"KLCC, Kuala Lumpur",2900000.0,4,4,3,1,2809.0,6.9406056197318025,8694,1,0,0
"Sentul, Kuala Lumpur",670000.0,3,2,2,1,1085.0,6.427315818558542,12911,0,1,0
