Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size (sq. ft.),Price_per_sqft,PropertyType_Furnishing,Furnishing_Fully Furnished,Furnishing_Partly Furnished,Furnishing_Unfurnished
"KLCC, Kuala Lumpur",1250000.0,2,1,1,1,880.0,7.259435954114475,8694,1,0,0
"Bukit Jalil, Kuala Lumpur",1050000.0,5,3,4,1,1772.0,6.386122787587395,12911,0,1,0
"Cheras, Kuala Lumpur",780000.0,1,1,1,0,624.0,7.1316985104669115,154,1,0,0
"KLCC, Kuala Lumpur",1350000.0,2,2,2,1,1270.0,6.969783269483466,8694,1,0,0
"Damansara Heights, Kuala Lumpur",2650000.0,4,4,3,1,2077.0,7.152173840681079,12911,0,1,0
"Mont Kiara, Kuala Lumpur",2450000.0,5,4,3,1,3000.0,6.7064547555903795,12911,0,1,0
"Mont Kiara, Kuala Lumpur",2550000.0,5,6,3,1,3541.0,6.580827129222215,12911,0,1,0
"Sungai Besi, Kuala Lumpur",1350000.0,6,5,2,3,20.0,11.119897691565697,533,1,0,0
"Taman Tun Dr Ismail, Kuala Lumpur",1500000.0,4,3,3,3,24.0,11.042937835596494,2861,0,1,0
"Bukit Jalil, Kuala Lumpur",930000.0,5,4,2,1,1513.0,6.422715711123011,12911,0,1,0
"Cheras, Kuala Lumpur",535000.0,1,1,1,1,762.0,6.5554987559051,12911,0,1,0
"KLCC, Kuala Lumpur",2400000.0,2,2,1,1,1006.0,7.77766102349935,8694,1,0,0
"KLCC, Kuala Lumpur",1250000.0,1,1,1,1,850.0,7.294097528698879,8694,1,0,0
"Mont Kiara, Kuala Lumpur",1450000.0,4,4,2,1,1496.0,6.8775551481387085,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",940000.0,5,3,3,1,1513.0,6.433393720949247,12911,0,1,0
"Dutamas, Kuala Lumpur",1150000.0,2,2,1,1,1148.0,6.910493686398453,8694,1,0,0
"Bangsar, Kuala Lumpur",2100000.0,5,3,2,3,1875.0,7.02197642307216,2861,0,1,0
"Damansara Heights, Kuala Lumpur",4680000.0,6,4,4,3,3800.0,7.11686395852541,2861,0,1,0
"KLCC, Kuala Lumpur",2761000.0,1,2,1,1,1023.0,7.900979174264135,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1100000.0,4,3,2,1,1200.0,6.821834216474498,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",3200000.0,7,7,5,4,5317.0,6.4016570378978175,843,0,1,0
"Kepong, Kuala Lumpur",528000.0,3,2,2,1,960.0,6.311734809152915,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",928000.0,5,3,2,1,1513.0,6.420566358271462,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",1100000.0,5,4,4,1,1772.0,6.432566219572202,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1668000.0,4,4,2,1,1668.0,6.90875477931522,12911,0,1,0
"Kepong, Kuala Lumpur",415000.0,4,2,2,1,932.0,6.100944249658054,2538,0,0,1
"Taman Tun Dr Ismail, Kuala Lumpur",2600000.0,5,3,3,3,3600.0,6.583716536236168,2861,0,1,0
"Sentul, Kuala Lumpur",700000.0,3,3,2,1,999.0,6.553506960833633,12911,0,1,0
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",375000.0,1,2,1,1,775.0,6.18388280964808,8694,1,0,0
"Wangsa Maju, Kuala Lumpur",425000.0,3,2,2,1,880.0,6.18199098795629,12911,0,1,0
"Mont Kiara, Kuala Lumpur",2600000.0,5,4,3,1,3041.0,6.752249247231765,8694,1,0,0
"Batu Caves, Kuala Lumpur",730000.0,3,2,2,1,1227.0,6.390151779331183,12911,0,1,0
"Cheras, Kuala Lumpur",480000.0,3,2,2,1,825.0,6.367875271188887,12911,0,1,0
"KLCC, Kuala Lumpur",1450000.0,2,2,1,1,1050.0,7.231252547114856,8694,1,0,0
"KLCC, Kuala Lumpur",3600000.0,3,3,2,1,1668.0,7.677527046535235,12911,0,1,0
"Taman Desa, Kuala Lumpur",600000.0,3,2,1,1,935.0,6.465695525301489,8694,1,0,0
"Taman Desa, Kuala Lumpur",620000.0,3,2,1,1,935.0,6.498435156261375,2538,0,0,1
"Taman Desa, Kuala Lumpur",498000.0,2,2,1,1,715.0,6.547507526591195,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",860000.0,2,1,1,1,933.0,6.827366763042213,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",1350000.0,4,3,3,1,1519.0,6.790932200457617,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",750000.0,2,2,1,1,750.0,6.90875477931522,12911,0,1,0
"KLCC, Kuala Lumpur",3609950.0,3,3,1,1,1560.0,7.747195425158199,8694,1,0,0
"Bangsar, Kuala Lumpur",530000.0,2,1,1,1,600.0,6.78483406546963,8694,1,0,0
"Sentul, Kuala Lumpur",848000.0,4,3,2,1,1381.0,6.421699974470963,12911,0,1,0
"Sentul, Kuala Lumpur",695000.0,2,2,2,1,999.0,6.5463487238853615,12911,0,1,0
"Bandar Menjalara, Kuala Lumpur",430000.0,3,2,2,1,1076.0,5.993033946925852,2538,0,0,1
"Bangsar, Kuala Lumpur",1250000.0,3,2,2,3,22.0,10.947629255765289,2861,0,1,0
"Bangsar, Kuala Lumpur",5200000.0,5,5,8,4,12250.0,6.05324096633543,843,0,1,0
"Cheras, Kuala Lumpur",285000.0,3,2,1,0,748.0,5.945462604532977,627,0,1,0
"Cheras, Kuala Lumpur",400000.0,3,2,1,1,920.0,6.077143515095717,8694,1,0,0
"Seputeh, Kuala Lumpur",543353.0,1,1,1,1,667.0,6.703951243952533,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",520000.0,3,2,2,1,1100.0,6.160631782110844,12911,0,1,0
"KLCC, Kuala Lumpur",1900000.0,2,2,1,1,1076.0,7.476924858908142,12911,0,1,0
"KLCC, Kuala Lumpur",1900000.0,2,2,1,1,1076.0,7.476924858908142,12911,0,1,0
"KLCC, Kuala Lumpur",2150000.0,2,2,1,1,1079.0,7.597690169420981,12911,0,1,0
"KLCC, Kuala Lumpur",4280000.0,4,5,2,1,2195.0,7.576038961053142,12911,0,1,0
"Mont Kiara, Kuala Lumpur",900000.0,3,2,1,1,1208.0,6.614769986058884,8694,1,0,0
"KL City, Kuala Lumpur",440000.0,4,2,2,1,1065.0,6.02621745771453,12911,0,1,0
"Mont Kiara, Kuala Lumpur",2290000.0,5,5,3,1,2767.0,6.719750963283475,12911,0,1,0
"Mont Kiara, Kuala Lumpur",2253000.0,5,6,3,1,2702.0,6.727224272156418,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1660000.0,3,4,2,1,1878.0,6.785496186399505,2538,0,0,1
"Mont Kiara, Kuala Lumpur",2980000.0,5,6,3,1,3668.0,6.701262140685955,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",2280000.0,5,6,2,3,22.0,11.548653196648562,533,1,0,0
"Bukit Kiara, Kuala Lumpur",4467122.0,5,5,4,3,4422.0,6.918896959400969,2861,0,1,0
"Bukit Kiara, Kuala Lumpur",5344829.0,5,5,4,3,5315.0,6.914345743621765,2861,0,1,0
"Damansara Heights, Kuala Lumpur",2100000.0,4,3,2,3,22.0,11.466415925470937,2861,0,1,0
"Mont Kiara, Kuala Lumpur",3484600.0,5,6,3,1,3668.0,6.85751406254539,12911,0,1,0
"Bangsar, Kuala Lumpur",2400000.0,5,3,2,3,25.0,11.472113887062386,2861,0,1,0
"Desa ParkCity, Kuala Lumpur",1300000.0,2,2,2,1,1323.0,6.891234833126758,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",1250000.0,2,2,2,1,1300.0,6.8695740254035185,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",1730000.0,4,4,2,1,1700.0,6.926230612895934,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",2850000.0,4,4,3,3,30.0,11.461642696843066,2861,0,1,0
"Desa ParkCity, Kuala Lumpur",1350000.0,4,3,3,1,1701.0,6.677902764884913,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",1350000.0,4,4,2,1,1680.0,6.690309748782565,12911,0,1,0
"Bangsar, Kuala Lumpur",950000.0,3,2,1,1,1518.0,6.440664925082519,12911,0,1,0
"Damansara Heights, Kuala Lumpur",2280000.0,5,5,2,1,3303.0,6.538547211419734,12911,0,1,0
"Damansara Heights, Kuala Lumpur",1150000.0,3,2,1,1,1205.0,6.862084931915062,12911,0,1,0
"Damansara Heights, Kuala Lumpur",3600000.0,4,4,3,1,2702.0,7.195447158935787,12911,0,1,0
"Damansara Heights, Kuala Lumpur",1400000.0,1,1,1,1,904.0,7.345798940095255,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",850000.0,2,3,1,1,1173.0,6.587050828488142,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",3400000.0,5,6,2,3,4400.0,6.651219450678591,2861,0,1,0
"Mont Kiara, Kuala Lumpur",920000.0,4,2,2,1,1448.0,6.455763051820007,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",1600000.0,3,2,2,1,1400.0,7.04216128901732,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",1050000.0,3,2,2,1,1389.0,6.629283362317589,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",1400000.0,4,3,2,1,1572.0,6.793001048806616,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",1170000.0,3,2,2,1,1389.0,6.737361439366446,8694,1,0,0
"Mont Kiara, Kuala Lumpur",2940000.0,5,5,3,1,3668.0,6.687765147356207,12911,0,1,0
"Mont Kiara, Kuala Lumpur",3200000.0,5,5,3,1,3668.0,6.772405127950652,8694,1,0,0
"Mont Kiara, Kuala Lumpur",2950000.0,5,6,3,1,3668.0,6.691156512401191,12911,0,1,0
"Mont Kiara, Kuala Lumpur",3680000.0,5,6,3,1,4090.0,6.803233856989507,12911,0,1,0
"Mont Kiara, Kuala Lumpur",2890000.0,5,6,3,1,3478.0,6.723757101804236,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",2600000.0,5,6,2,3,3197.0,6.702282713958624,2861,0,1,0
"Desa ParkCity, Kuala Lumpur",1080000.0,2,1,2,1,1034.0,6.9522384934172825,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",5300000.0,6,7,2,3,6088.0,6.770290498998886,2861,0,1,0
"Desa ParkCity, Kuala Lumpur",1180000.0,2,2,2,1,1087.0,6.990768871729475,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",5600000.0,7,9,2,3,7000.0,6.68586094706836,2861,0,1,0
"Mont Kiara, Kuala Lumpur",3490000.0,5,5,3,1,3720.0,6.844998681819413,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",883000.0,3,2,2,1,1093.0,6.695636051529639,2538,0,0,1
"Desa ParkCity, Kuala Lumpur",1530000.0,4,4,2,1,2066.0,6.608758059615081,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",2300000.0,4,4,2,3,2600.0,6.786282753212128,2861,0,1,0
"City Centre, Kuala Lumpur",1550000.0,3,3,1,1,1453.0,6.973316805576856,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",2350000.0,4,3,2,3,2500.0,6.846943139585379,2861,0,1,0
"Desa ParkCity, Kuala Lumpur",2850000.0,6,6,5,3,3500.0,6.703538621481395,2861,0,1,0
"Desa ParkCity, Kuala Lumpur",2990000.0,6,5,5,3,3600.0,6.723298110057761,2861,0,1,0
"Desa ParkCity, Kuala Lumpur",1900000.0,4,4,2,1,1851.0,6.934856867854391,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1850000.0,5,4,2,1,1830.0,6.919613651483004,12911,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",4200000.0,5,5,3,1,3832.0,7.000364909148719,12911,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",1550000.0,3,3,2,1,1445.0,6.978832712130751,12911,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",2800000.0,4,5,2,1,2426.0,7.051996939080299,2538,0,0,1
"Taman Tun Dr Ismail, Kuala Lumpur",1480000.0,3,3,2,1,1691.0,6.775619212175728,12911,0,1,0
"Sentul, Kuala Lumpur",810000.0,3,3,2,1,1186.0,6.527911073729815,2538,0,0,1
"Sentul, Kuala Lumpur",800000.0,3,3,1,1,1237.0,6.473467690043922,2538,0,0,1
"Kepong, Kuala Lumpur",950000.0,4,3,2,3,22.0,10.673197967845004,2861,0,1,0
"Mont Kiara, Kuala Lumpur",2950000.0,5,4,3,1,3478.0,6.744281321997884,8694,1,0,0
"Bandar Menjalara, Kuala Lumpur",850000.0,4,3,2,3,22.0,10.561975057126181,2861,0,1,0
"Bandar Menjalara, Kuala Lumpur",560000.0,3,2,2,3,770.0,6.590675603416746,2861,0,1,0
"Dutamas, Kuala Lumpur",995000.0,4,3,3,1,2100.0,6.16291372110537,12911,0,1,0
"Sentul, Kuala Lumpur",768000.0,3,2,1,1,1180.0,6.479810573858977,2538,0,0,1
"Sentul, Kuala Lumpur",970000.0,4,4,2,1,1488.0,6.481395980297369,2538,0,0,1
"Sentul, Kuala Lumpur",880900.0,3,3,3,1,1373.0,6.465503405137869,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1800000.0,5,4,2,1,1830.0,6.89224212724205,12911,0,1,0
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",390000.0,1,2,1,1,775.0,6.223024196410325,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",995000.0,3,2,2,1,1218.0,6.7067559398491525,8694,1,0,0
"Bukit Jalil, Kuala Lumpur",900000.0,3,2,2,1,1218.0,6.606537012439761,2538,0,0,1
"Sentul, Kuala Lumpur",670000.0,3,2,1,1,1200.0,6.326745598359042,8694,1,0,0
"Mont Kiara, Kuala Lumpur",1280000.0,3,2,2,1,1200.0,6.973230860941048,12911,0,1,0
"City Centre, Kuala Lumpur",1600000.0,3,3,2,1,1442.0,7.012628713483183,8694,1,0,0
"City Centre, Kuala Lumpur",1900000.0,3,3,2,1,1453.0,7.176743225146265,8694,1,0,0
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",890000.0,4,3,2,1,1578.0,6.336834704041568,12911,0,1,0
"City Centre, Kuala Lumpur",2300000.0,3,3,2,1,1614.0,7.262650325096142,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",6700000.0,8,7,4,4,6200.0,6.986238458568575,843,0,1,0
"Desa ParkCity, Kuala Lumpur",1180000.0,4,2,2,1,1432.0,6.715410472475382,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",2100000.0,4,4,3,3,22.0,11.466415925470937,2861,0,1,0
"Desa ParkCity, Kuala Lumpur",6300000.0,7,7,10,4,7300.0,6.76158862357436,843,0,1,0
"Desa ParkCity, Kuala Lumpur",1190000.0,3,3,2,1,1389.0,6.754291068544438,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",2400000.0,6,4,3,3,22.0,11.599946008584512,2861,0,1,0
"Desa ParkCity, Kuala Lumpur",1200000.0,2,2,2,1,1087.0,7.007560650950926,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",2388000.0,5,5,3,3,22.0,11.594933512824195,533,1,0,0
"Desa ParkCity, Kuala Lumpur",2080000.0,4,3,3,1,1948.0,6.974256067658036,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",1150000.0,2,1,2,1,1034.0,7.014981171730205,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",1590000.0,3,3,2,3,1900.0,6.730829664188695,2861,0,1,0
"Desa ParkCity, Kuala Lumpur",848000.0,2,1,2,1,969.0,6.775513339190735,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",3200000.0,5,6,5,3,1991.0,7.382891057727365,2861,0,1,0
"Desa ParkCity, Kuala Lumpur",8300000.0,7,6,10,4,6900.0,7.093320362123193,843,0,1,0
"Desa ParkCity, Kuala Lumpur",1400000.0,4,3,2,1,1572.0,6.793001048806616,12911,0,1,0
"Dutamas, Kuala Lumpur",750000.0,1,1,3,1,672.0,7.018465743820957,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",1580000.0,3,3,2,3,1900.0,6.724528049032139,2861,0,1,0
"Desa ParkCity, Kuala Lumpur",1800000.0,3,3,2,3,1900.0,6.854743056560374,2861,0,1,0
"Sunway SPK, Kuala Lumpur",3600000.0,6,5,6,3,45.0,11.289794413577894,533,1,0,0
"Sunway SPK, Kuala Lumpur",2050000.0,6,4,4,3,32.0,11.067630057949131,2861,0,1,0
"Jalan Kuching, Kuala Lumpur",380000.0,3,2,1,0,1216.0,5.7477993600729755,627,0,1,0
"Bukit Jalil, Kuala Lumpur",560000.0,3,2,2,1,1100.0,6.234588962952602,12911,0,1,0
"Kepong, Kuala Lumpur",358000.0,3,2,1,1,822.0,6.078841327726978,12911,0,1,0
"Sunway SPK, Kuala Lumpur",1750000.0,5,5,4,3,32.0,10.909408728647074,2861,0,1,0
"Mont Kiara, Kuala Lumpur",1270000.0,3,2,2,1,1200.0,6.965395058428552,12911,0,1,0
"KLCC, Kuala Lumpur",4700000.0,4,3,2,1,1786.0,7.875719233062128,8694,1,0,0
"Ampang, Kuala Lumpur",4900000.0,6,7,6,4,10000.0,6.19644412779452,843,0,1,0
"Mont Kiara, Kuala Lumpur",1300000.0,4,2,2,1,1448.0,6.80104947577357,8694,1,0,0
"Mont Kiara, Kuala Lumpur",1990000.0,5,3,4,1,3152.0,6.449435412243258,8694,1,0,0
"Mont Kiara, Kuala Lumpur",1900000.0,5,5,2,1,2552.0,6.614074056337066,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1300000.0,4,3,2,1,1448.0,6.80104947577357,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",830000.0,2,1,1,1,904.0,6.823440183306356,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",5900000.0,6,7,2,3,6207.0,6.858081423360755,2861,0,1,0
"Desa ParkCity, Kuala Lumpur",1450000.0,4,3,2,1,1680.0,6.761682992006151,12911,0,1,0
"Desa ParkCity, Kuala Lumpur",1480000.0,3,3,1,1,1458.0,6.9237163833796656,8694,1,0,0
"Desa ParkCity, Kuala Lumpur",2500000.0,5,6,2,3,3228.0,6.653473627566737,2861,0,1,0
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1100000.0,4,4,3,1,1782.0,6.426947818953301,12911,0,1,0
"OUG, Kuala Lumpur",1450000.0,5,5,2,3,2809.0,6.248425654639655,2861,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",980000.0,3,2,1,1,1300.0,6.626513958744956,12911,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",1390000.0,4,4,2,1,1800.0,6.65056648750863,12911,0,1,0
"Sri Petaling, Kuala Lumpur",1600000.0,6,4,4,3,4300.0,5.921827780657513,2861,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",1000000.0,3,2,1,1,1560.0,6.464628242184684,12911,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",1400000.0,4,3,2,1,1900.0,6.603729852202095,12911,0,1,0
"Taman Tun Dr Ismail, Kuala Lumpur",1450000.0,3,2,2,1,1680.0,6.761682992006151,8694,1,0,0
"Bangsar, Kuala Lumpur",730000.0,1,1,1,1,783.0,6.8387391450461825,8694,1,0,0
"Segambut, Kuala Lumpur",690000.0,4,3,2,1,1298.0,6.277746371565179,2538,0,0,1
"Sentul, Kuala Lumpur",790000.0,2,2,1,1,1168.0,6.518217450190718,12911,0,1,0
"Sentul, Kuala Lumpur",885000.0,3,3,2,1,1330.0,6.50191039952184,12911,0,1,0
"Wangsa Maju, Kuala Lumpur",760000.0,3,2,2,1,1382.0,6.311603477661535,2538,0,0,1
"Wangsa Maju, Kuala Lumpur",970000.0,4,2,2,1,1909.0,6.232682633934894,12911,0,1,0
"Mont Kiara, Kuala Lumpur",720000.0,1,1,1,1,708.0,6.925545247476339,12911,0,1,0
"Sungai Besi, Kuala Lumpur",688000.0,4,4,3,1,1449.0,6.16501906451665,12911,0,1,0
"Bukit Jalil, Kuala Lumpur",520000.0,3,3,2,1,1003.0,6.25276029091438,2538,0,0,1
"Mont Kiara, Kuala Lumpur",950000.0,2,2,1,1,903.0,6.959444785011452,8694,1,0,0
"KLCC, Kuala Lumpur",2700000.0,4,5,3,1,3800.0,6.567412403197965,12911,0,1,0
"KLCC, Kuala Lumpur",3000000.0,4,5,3,1,3800.0,6.6726323660391405,12911,0,1,0
"KLCC, Kuala Lumpur",1500000.0,4,4,2,1,2098.0,6.5736335665597405,12911,0,1,0
"KLCC, Kuala Lumpur",2600000.0,4,4,2,1,3282.0,6.676075242993456,12911,0,1,0
"Mont Kiara, Kuala Lumpur",1180000.0,4,3,2,1,1756.0,6.511718251663525,8694,1,0,0
"Taman Tun Dr Ismail, Kuala Lumpur",1660000.0,3,3,2,1,1445.0,7.047333663064234,8694,1,0,0
"Taman Tun Dr Ismail, Kuala Lumpur",2720000.0,5,4,2,1,2426.0,7.023034863015941,12911,0,1,0
"Mont Kiara, Kuala Lumpur",950000.0,4,3,2,1,1550.0,6.419837303031881,8694,1,0,0
"Mont Kiara, Kuala Lumpur",3317400.0,6,5,3,1,3671.0,6.807578495736199,12911,0,1,0
"Kepong, Kuala Lumpur",485000.0,3,2,1,1,930.0,6.258635273439781,12911,0,1,0
"Kepong, Kuala Lumpur",1300000.0,5,6,5,3,22.0,10.986849292007179,2861,0,1,0
"KLCC, Kuala Lumpur",3500000.0,5,4,3,1,3800.0,6.826602306069382,12911,0,1,0
"KLCC, Kuala Lumpur",2800000.0,4,4,3,1,3303.0,6.743722497379847,12911,0,1,0
"KLCC, Kuala Lumpur",850000.0,2,1,1,1,608.0,7.243531784917069,8694,1,0,0
"Bangsar, Kuala Lumpur",530000.0,2,1,1,1,600.0,6.78483406546963,8694,1,0,0
"Taman Desa, Kuala Lumpur",550000.0,3,2,1,1,1200.0,6.129776162905494,8694,1,0,0
"Bukit Jalil, Kuala Lumpur",638000.0,3,2,2,1,1090.0,6.3738675932891695,12911,0,1,0
"KLCC, Kuala Lumpur",2480000.0,5,5,3,1,2900.0,6.752471773842461,8694,1,0,0
"Bangsar, Kuala Lumpur",1161850.0,2,1,1,1,1223.0,6.85751406254539,8694,1,0,0
"Bukit Jalil, Kuala Lumpur",1730000.0,5,4,2,3,1840.0,6.84717413448142,533,1,0,0
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",800000.0,4,2,4,3,1600.0,6.2166061010848646,722,0,0,1
"Wangsa Maju, Kuala Lumpur",1120000.0,4,4,2,1,1712.0,6.48494909092201,12911,0,1,0
"Wangsa Maju, Kuala Lumpur",760000.0,3,2,2,1,1382.0,6.311603477661535,12911,0,1,0
"Ampang, Kuala Lumpur",2600000.0,7,7,2,3,4500.0,6.360918600408972,2861,0,1,0
"Kepong, Kuala Lumpur",680000.0,3,2,2,3,22.0,10.338837976211805,2861,0,1,0
"Taman Melawati, Kuala Lumpur",2100000.0,5,5,3,3,24.0,11.37940550085183,2861,0,1,0
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",880000.0,4,4,2,1,1535.0,6.353134325058753,8694,1,0,0
"KLCC, Kuala Lumpur",950000.0,2,2,1,1,1429.0,6.50099016598174,8694,1,0,0
"Bukit Jalil, Kuala Lumpur",580000.0,3,2,2,1,1073.0,6.294417930749521,12911,0,1,0
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",568000.0,2,2,1,1,680.0,6.728980366579482,8694,1,0,0
"Mont Kiara, Kuala Lumpur",1100000.0,1,1,1,1,1431.0,6.645992021853981,8694,1,0,0
"Jalan Ipoh, Kuala Lumpur",388000.0,2,1,1,1,700.0,6.31948278179691,8694,1,0,0
"Dutamas, Kuala Lumpur",385600.0,2,1,1,1,646.0,6.393430247370811,12911,0,1,0
"Cheras, Kuala Lumpur",468600.0,2,2,2,1,840.0,6.325893882099395,2538,0,0,1
"Bukit Jalil, Kuala Lumpur",530000.0,3,2,2,1,1003.0,6.271772161963695,2538,0,0,1
"KL Sentral, Kuala Lumpur",6350000.0,5,5,3,1,4058.0,7.356158701492456,12911,0,1,0
"KL Sentral, Kuala Lumpur",5149700.0,4,4,3,1,2982.0,7.45467841845714,8694,1,0,0
"Bukit Jalil, Kuala Lumpur",960000.0,3,2,2,1,1218.0,6.670991060991028,2538,0,0,1
"Sri Petaling, Kuala Lumpur",638000.0,4,3,1,1,1278.0,6.215043058586386,8694,1,0,0
"Mont Kiara, Kuala Lumpur",2719000.0,5,6,3,1,3317.0,6.71017787495214,12911,0,1,0
"Dutamas, Kuala Lumpur",1200000.0,3,3,2,1,1395.0,6.758344245322852,12911,0,1,0
"Mont Kiara, Kuala Lumpur",680000.0,3,2,1,1,1423.0,6.171415939585305,8694,1,0,0
"Bukit Tunku (Kenny Hills), Kuala Lumpur",2200000.0,5,5,3,1,3287.0,6.507730320530106,8694,1,0,0
"Cheras, Kuala Lumpur",474000.0,2,2,2,1,840.0,6.337331292330111,2538,0,0,1
"Desa ParkCity, Kuala Lumpur",2800000.0,5,4,2,3,38.0,11.207557386755527,2861,0,1,0
"Desa Pandan, Kuala Lumpur",1300000.0,4,2,2,1,1538.0,6.740819050005233,12911,0,1,0
"Desa Pandan, Kuala Lumpur",760000.0,2,2,2,1,1087.0,6.551326066447078,12911,0,1,0
"Desa Pandan, Kuala Lumpur",1050000.0,2,2,2,1,1410.0,6.61429769507806,12911,0,1,0
"Ampang, Kuala Lumpur",630000.0,2,2,1,1,856.0,6.6025625301461695,12911,0,1,0
"KLCC, Kuala Lumpur",1150000.0,4,4,2,1,1701.0,6.517778945542431,12911,0,1,0
"Sentul, Kuala Lumpur",810000.0,3,3,2,1,1186.0,6.527911073729815,12911,0,1,0
"Sentul, Kuala Lumpur",850000.0,4,4,2,1,1381.0,6.42405186253278,12911,0,1,0
"Sentul, Kuala Lumpur",680000.0,3,3,1,1,999.0,6.524561338053236,12911,0,1,0
"Sentul, Kuala Lumpur",1050000.0,4,4,2,1,1567.0,6.508873748236318,12911,0,1,0
"Sentul, Kuala Lumpur",1000000.0,4,4,2,1,1488.0,6.511809236596228,12911,0,1,0
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",690000.0,4,4,2,1,1615.0,6.059694485736794,8694,1,0,0
"Wangsa Maju, Kuala Lumpur",990000.0,4,4,2,1,1712.0,6.361770464832918,12911,0,1,0
"Bukit Bintang, Kuala Lumpur",1285000.0,3,2,2,1,1555.0,6.718247836828544,8694,1,0,0
"Wangsa Maju, Kuala Lumpur",1100000.0,4,4,2,1,1759.0,6.439917806755639,12911,0,1,0
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1050000.0,4,4,2,1,1875.0,6.329720905522696,2538,0,0,1
"Sungai Besi, Kuala Lumpur",3350000.0,5,5,4,3,4065.0,6.715514579040555,2861,0,1,0
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",1150000.0,4,2,2,1,1707.0,6.514263024815781,2538,0,0,1
"Taman Desa, Kuala Lumpur",630000.0,3,2,1,1,935.0,6.514411595835154,12911,0,1,0
"Cheras, Kuala Lumpur",1430000.0,5,5,4,3,24.0,10.995147954964091,2861,0,1,0
"Bangsar, Kuala Lumpur",6950000.0,5,6,3,1,4945.0,7.248831231271729,12911,0,1,0
"Bangsar, Kuala Lumpur",6480000.0,4,5,3,1,4025.0,7.3845718276222705,12911,0,1,0
"Bangsar, Kuala Lumpur",6880000.0,5,6,3,1,4771.0,7.274511223363944,12911,0,1,0
"Bangsar, Kuala Lumpur",8480000.0,5,6,4,1,5137.0,7.4096020721930955,12911,0,1,0
"Kepong, Kuala Lumpur",465000.0,3,2,1,1,930.0,6.2166061010848646,12911,0,1,0
"Mont Kiara, Kuala Lumpur",3180000.0,7,5,5,3,40.0,11.283524879179666,533,1,0,0
